,Drug Name,Composition,Concentration,Pharmaceutical Form
0,METHYLDOPATE,,250 MG,
1,METOPROLOL,SUCCINATE SALT,25 MG,CONTROLLED RELEASE
2,METOPROLOL,SALT TARTARATE,100 MG,
3,METHYLDOPATE,,500 MG,
4,METOPROLOL,SALT TARTARATE,100 MG,
5,METOPROLOL,SALT TARTARATE,100 MG,
6,METOPROLOL,SUCCINATE SALT,25 MG,CONTROLLED RELEASE
7,METOPROLOL,SUCCINATE SALT,25 MG,CONTROLLED RELEASE
8,METOPROLOL,SALT TARTARATE,100 MG,
9,METOPROLOL,SALT TARTARATE,100 MG,
10,METOPROLOL,SALT TARTARATE,100 MG,
11,METOPROLOL,SALT TARTARATE,100 MG,
12,METOPROLOL,SALT TARTARATE,100 MG,
13,METOPROLOL,SALT TARTARATE,100 MG,
14,METOPROLOL,SALT TARTARATE,100 MG,
15,METOPROLOL,SALT TARTARATE,100 MG,
16,METOPROLOL,SUCCINATE SALT,25 MG,CONTROLLED RELEASE
17,METOPROLOL,SALT TARTARATE,100 MG,
18,METOPROLOL,SUCCINATE SALT,25 MG,CONTROLLED RELEASE
19,METOPROLOL,SALT TARTARATE,100 MG,
20,METOPROLOL,SALT TARTARATE,100 MG,
21,METOPROLOL,SUCCINATE SALT,25 MG,CONTROLLED RELEASE
22,METOPROLOL,SALT TARTARATE,100 MG,
23,METOPROLOL,SUCCINATE SALT,25 MG,CONTROLLED RELEASE
24,METOPROLOL,SUCCINATE SALT,25 MG,CONTROLLED RELEASE
25,METOPROLOL,SALT TARTARATE,100 MG,
26,METOPROLOL,SALT TARTARATE,100 MG,
27,METOPROLOL,SALT TARTARATE,100 MG,
28,METHYLDOPATE,,250 MG,
29,METOPROLOL,SUCCINATE SALT,25 MG,CONTROLLED RELEASE
30,METOPROLOL,SUCCINATE SALT,25 MG,CONTROLLED RELEASE
31,METOPROLOL,SALT TARTARATE,100 MG,
32,METOPROLOL,SALT TARTARATE,100 MG,
33,METOPROLOL,SALT TARTARATE,100 MG,
34,METOPROLOL,SALT TARTARATE,100 MG,
35,METOPROLOL,SUCCINATE SALT,25 MG,CONTROLLED RELEASE
36,METOPROLOL,SUCCINATE SALT,25 MG,CONTROLLED RELEASE
37,METOPROLOL,SUCCINATE SALT,25 MG,CONTROLLED RELEASE
38,METOPROLOL,SUCCINATE SALT,25 MG,CONTROLLED RELEASE
39,METOPROLOL,SALT TARTARATE,100 MG,
40,METOPROLOL,SALT TARTARATE,100 MG,
41,METOPROLOL,SUCCINATE SALT,25 MG,CONTROLLED RELEASE
42,METOPROLOL,SUCCINATE SALT,25 MG,CONTROLLED RELEASE
43,METOPROLOL,SALT TARTARATE,100 MG,
44,METOPROLOL,SUCCINATE SALT,25 MG,CONTROLLED RELEASE
45,METOPROLOL,SALT TARTARATE,100 MG,
46,METOPROLOL,SUCCINATE SALT,25 MG,CONTROLLED RELEASE
47,METOPROLOL,SUCCINATE SALT,25 MG,CONTROLLED RELEASE
48,METOPROLOL,SUCCINATE SALT,25 MG,CONTROLLED RELEASE
49,METOPROLOL,SALT TARTARATE,100 MG,
50,METOPROLOL,SALT TARTARATE,100 MG,
51,METOPROLOL,SUCCINATE SALT,25 MG,CONTROLLED RELEASE
52,METOPROLOL,SUCCINATE SALT,25 MG,CONTROLLED RELEASE
53,METOPROLOL,SALT TARTARATE,100 MG,
54,METOPROLOL,SALT TARTARATE,100 MG,
55,METOPROLOL,SUCCINATE SALT,25 MG,CONTROLLED RELEASE
56,METOPROLOL,SUCCINATE SALT,25 MG,CONTROLLED RELEASE
57,METOPROLOL,SUCCINATE SALT,25 MG,CONTROLLED RELEASE
58,METOPROLOL,SUCCINATE SALT,25 MG,CONTROLLED RELEASE
59,METOPROLOL,SUCCINATE SALT,25 MG,CONTROLLED RELEASE
60,METOPROLOL,SUCCINATE SALT,25 MG,CONTROLLED RELEASE
61,METOPROLOL,SUCCINATE SALT,25 MG,CONTROLLED RELEASE
62,METOPROLOL,SUCCINATE SALT,25 MG,CONTROLLED RELEASE
63,METOPROLOL,SUCCINATE SALT,25 MG,CONTROLLED RELEASE
64,METHYLDOPATE,,250 MG,
65,METOPROLOL,SUCCINATE SALT,25 MG,CONTROLLED RELEASE
66,METOPROLOL,SUCCINATE SALT,25 MG,CONTROLLED RELEASE
67,METOPROLOL,SUCCINATE SALT,25 MG,CONTROLLED RELEASE
68,METOPROLOL,SALT TARTARATE,100 MG,
69,METHYLDOPATE,,250 MG,
70,METHYLDOPATE,,250 MG,
71,METOPROLOL,SUCCINATE SALT,25 MG,CONTROLLED RELEASE
72,METOPROLOL,SUCCINATE SALT,25 MG,CONTROLLED RELEASE
73,METOPROLOL,SUCCINATE SALT,25 MG,CONTROLLED RELEASE
74,METOPROLOL,SUCCINATE SALT,25 MG,CONTROLLED RELEASE
75,METOPROLOL,SUCCINATE SALT,25 MG,CONTROLLED RELEASE
76,METOPROLOL,SUCCINATE SALT,25 MG,CONTROLLED RELEASE
77,METOPROLOL,SUCCINATE SALT,25 MG,CONTROLLED RELEASE
78,METOPROLOL,SUCCINATE SALT,25 MG,CONTROLLED RELEASE
79,METHYLDOPATE,,250 MG,
80,METHYLDOPATE,,250 MG,
81,METOPROLOL,SUCCINATE SALT,25 MG,CONTROLLED RELEASE
82,METHYLDOPATE,,250 MG,
83,METOPROLOL,SUCCINATE SALT,25 MG,CONTROLLED RELEASE
84,METOPROLOL,SALT TARTARATE,100 MG,
85,METOPROLOL,SALT TARTARATE,100 MG,
86,METOPROLOL,SUCCINATE SALT,25 MG,CONTROLLED RELEASE
87,METOPROLOL,SUCCINATE SALT,25 MG,CONTROLLED RELEASE
88,METOPROLOL,SUCCINATE SALT,25 MG,CONTROLLED RELEASE
89,METHYLDOPATE,,250 MG,
90,METHYLDOPATE,,250 MG,
91,METOPROLOL,SUCCINATE SALT,25 MG,CONTROLLED RELEASE
92,METOPROLOL,SUCCINATE SALT,25 MG,CONTROLLED RELEASE
93,METHYLDOPATE,,250 MG,
94,METHYLDOPATE,,250 MG,
95,METHYLDOPATE,,250 MG,
96,METHYLDOPATE,,250 MG,
97,METHYLDOPATE,,500 MG,
98,METOPROLOL,SUCCINATE SALT,25 MG,CONTROLLED RELEASE
99,METHYLDOPATE,,250 MG,
100,METHYLDOPATE,,250 MG,
101,METHYLDOPATE,,250 MG,
102,METHYLDOPATE,,250 MG,
103,METOPROLOL,SUCCINATE SALT,25 MG,CONTROLLED RELEASE
104,METHYLDOPATE,,250 MG,
105,METHYLDOPATE,,250 MG,
106,METHYLDOPATE,,250 MG,
107,METHYLDOPATE,,250 MG,
108,METHYLDOPATE,,250 MG,
109,METHYLDOPATE,,250 MG,
110,METHYLDOPATE,,250 MG,
111,METHYLDOPATE,,250 MG,
112,METHYLDOPATE,,250 MG,
113,METHYLDOPATE,,250 MG,
114,METHYLDOPATE,,250 MG,
115,METOPROLOL,SUCCINATE SALT,25 MG,CONTROLLED RELEASE
116,METHYLDOPATE,,250 MG,
117,METHYLDOPATE,,250 MG,
118,METHYLDOPATE,,250 MG,
119,METHYLDOPATE,,250 MG,
120,METHYLDOPATE,,250 MG,
121,METHYLDOPATE,,250 MG,
122,METHYLDOPATE,,250 MG,
123,METHYLDOPATE,,250 MG,
124,METHYLDOPATE,,250 MG,
125,METHYLDOPATE,,250 MG,
126,METHYLDOPATE,,250 MG,
127,METOPROLOL,SUCCINATE SALT,25 MG,CONTROLLED RELEASE
128,METOPROLOL,SUCCINATE SALT,50 MG,CONTROLLED RELEASE
129,METHYLDOPATE,,250 MG,
130,METOPROLOL,SUCCINATE SALT,50 MG,CONTROLLED RELEASE
131,METHYLDOPATE,,250 MG,
132,METHYLDOPATE,,250 MG,
133,METHYLDOPATE,,250 MG,
134,METHYLDOPATE,,250 MG,
135,METHYLDOPATE,,250 MG,
136,METHYLDOPATE,,250 MG,
137,METHYLDOPATE,,250 MG,
138,METHYLDOPATE,,250 MG,
139,METHYLDOPATE,,250 MG,
140,METHYLDOPATE,,250 MG,
141,METHYLDOPATE,,250 MG,
142,METHYLDOPATE,,250 MG,
143,METHYLDOPATE,,250 MG,
144,METHYLDOPATE,,250 MG,
145,METHYLDOPATE,,250 MG,
146,METHYLDOPATE,,250 MG,
147,METHYLDOPATE,,250 MG,
148,METHYLDOPATE,,250 MG,
149,METHYLDOPATE,,250 MG,
150,METHYLDOPATE,,250 MG,
151,METOPROLOL,SUCCINATE SALT,25 MG,CONTROLLED RELEASE
152,METHYLDOPATE,,250 MG,
153,METHYLDOPATE,,250 MG,
154,METHYLDOPATE,,250 MG,
155,METOPROLOL,SALT TARTARATE,100 MG,
156,METHYLDOPATE,,250 MG,
157,METHYLDOPATE,,250 MG,
158,METHYLDOPATE,,250 MG,
159,METHYLDOPATE,,250 MG,
160,METHYLDOPATE,,250 MG,
161,METHYLDOPATE,,250 MG,
162,METHYLDOPATE,,250 MG,
163,METHYLDOPATE,,250 MG,
164,METHYLDOPATE,,250 MG,
165,METHYLDOPATE,,250 MG,
166,METHYLDOPATE,,250 MG,
167,METOPROLOL,SALT TARTARATE,100 MG,
168,METHYLDOPATE,,250 MG,
169,METHYLDOPATE,,250 MG,
170,METHYLDOPATE,,250 MG,
171,METHYLDOPATE,,250 MG,
172,METHYLDOPATE,,250 MG,
173,METHYLDOPATE,,250 MG,
174,METHYLDOPATE,,250 MG,
175,METHYLDOPATE,,250 MG,
176,METHYLDOPATE,,250 MG,
177,METHYLDOPATE,,250 MG,
178,METHYLDOPATE,,250 MG,
179,METHYLDOPATE,,250 MG,
180,METHYLDOPATE,,250 MG,
181,METHYLDOPATE,,250 MG,
182,METOPROLOL,SUCCINATE SALT,25 MG,CONTROLLED RELEASE
183,METOPROLOL,SUCCINATE SALT,25 MG,CONTROLLED RELEASE
184,METHYLDOPATE,,250 MG,
185,METHYLDOPATE,,250 MG,
186,METHYLDOPATE,,250 MG,
187,METOPROLOL,SUCCINATE SALT,25 MG,CONTROLLED RELEASE
188,METOPROLOL,SUCCINATE SALT,50 MG,CONTROLLED RELEASE
189,METOPROLOL,SUCCINATE SALT,50 MG,CONTROLLED RELEASE
190,METOPROLOL,SUCCINATE SALT,50 MG,CONTROLLED RELEASE
191,METOPROLOL,SUCCINATE SALT,50 MG,CONTROLLED RELEASE
192,METOPROLOL,SUCCINATE SALT,50 MG,CONTROLLED RELEASE
193,METOPROLOL,SUCCINATE SALT,50 MG,CONTROLLED RELEASE
194,METHYLDOPATE,,250 MG,
195,METHYLDOPATE,,250 MG,
196,METHYLDOPATE,,250 MG,
197,METHYLDOPATE,,250 MG,
198,METHYLDOPATE,,250 MG,
199,METHYLDOPATE,,250 MG,
200,METHYLDOPATE,,250 MG,
201,METOPROLOL,SUCCINATE SALT,25 MG,CONTROLLED RELEASE
202,METHYLDOPATE,,250 MG,
203,METOPROLOL,SUCCINATE SALT,25 MG,CONTROLLED RELEASE
204,METOPROLOL,SUCCINATE SALT,25 MG,CONTROLLED RELEASE
205,METOPROLOL,SUCCINATE SALT,50 MG,CONTROLLED RELEASE
206,METHYLDOPATE,,250 MG,
207,METOPROLOL,SUCCINATE SALT,25 MG,CONTROLLED RELEASE
208,METHYLDOPATE,,250 MG,
209,METHYLDOPATE,,250 MG,
210,METHYLDOPATE,,250 MG,
211,METHYLDOPATE,,250 MG,
212,METHYLDOPATE,,250 MG,
213,METHYLDOPATE,,250 MG,
214,METHYLDOPATE,,250 MG,
215,METHYLDOPATE,,250 MG,
216,METHYLDOPATE,,250 MG,
217,METHYLDOPATE,,250 MG,
218,METHYLDOPATE,,250 MG,
219,METHYLDOPATE,,250 MG,
220,METHYLDOPATE,,250 MG,
221,METHYLDOPATE,,250 MG,
222,METHYLDOPATE,,250 MG,
223,METHYLDOPATE,,250 MG,
224,METHYLDOPATE,,250 MG,
225,METOPROLOL,SALT TARTARATE,100 MG,
226,METHYLDOPATE,,250 MG,
227,METHYLDOPATE,,250 MG,
228,METOPROLOL,SALT TARTARATE,100 MG,
229,METOPROLOL,SUCCINATE SALT,25 MG,CONTROLLED RELEASE
230,METOPROLOL,SUCCINATE SALT,25 MG,CONTROLLED RELEASE
231,METOPROLOL,SUCCINATE SALT,25 MG,CONTROLLED RELEASE
232,METOPROLOL,SUCCINATE SALT,25 MG,CONTROLLED RELEASE
233,METHYLDOPATE,,250 MG,
234,METHYLDOPATE,,250 MG,
235,METHYLDOPATE,,250 MG,
236,METHYLDOPATE,,250 MG,
237,METHYLDOPATE,,250 MG,
238,METOPROLOL,SUCCINATE SALT,25 MG,CONTROLLED RELEASE
239,METOPROLOL,SUCCINATE SALT,25 MG,CONTROLLED RELEASE
240,METHYLDOPATE,,250 MG,
241,METHYLDOPATE,,250 MG,
242,METHYLDOPATE,,250 MG,
243,METHYLDOPATE,,250 MG,
244,METHYLDOPATE,,250 MG,
245,METOPROLOL,SUCCINATE SALT,50 MG,CONTROLLED RELEASE
246,METOPROLOL,SUCCINATE SALT,50 MG,CONTROLLED RELEASE
247,METHYLDOPATE,,250 MG,
248,METHYLDOPATE,,250 MG,
249,METHYLDOPATE,,250 MG,
250,METHYLDOPATE,,250 MG,
251,METOPROLOL,SUCCINATE SALT,25 MG,CONTROLLED RELEASE
252,METOPROLOL,SUCCINATE SALT,25 MG,CONTROLLED RELEASE
253,METHYLDOPATE,,250 MG,
254,METOPROLOL,SUCCINATE SALT,25 MG,CONTROLLED RELEASE
255,METHYLDOPATE,,250 MG,
256,METHYLDOPATE,,250 MG,
257,METHYLDOPATE,,250 MG,
258,METHYLDOPATE,,250 MG,
259,METOPROLOL,SUCCINATE SALT,50 MG,CONTROLLED RELEASE
260,METHYLDOPATE,,250 MG,
261,METOPROLOL,SUCCINATE SALT,50 MG,CONTROLLED RELEASE
262,METOPROLOL,SUCCINATE SALT,50 MG,CONTROLLED RELEASE
